;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023
Art des Gutes;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern
Einheit;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t
Erzeugn. der Land- und Forstwirtschaft, Fischerei;13596048;10580213;13796429;11708515;12658966;10773867;11923939;8615126;12125530;6052812;10985413;6122320;9774917;9169341;10303763;8272384;9609734;7713261;8229129;7868369
  Getreide;2840085;7744214;2673603;9449983;2233595;8484046;1903822;6484472;3009338;4280974;3215374;4314888;2155431;6930129;1724822;5698770;1928903;4932400;1429787;5459698
  Kartoffeln;32705;35074;75271;36680;47625;33745;55993;39867;41718;34673;6624;21767;8767;11334;10254;8152;10571;6490;17895;3939
  Zuckerrüben;3100;53;2825;47;3125;-;2798;6878;27;3250;-;-;3257;-;7900;4440;6314;-;-;7900
  Anderes frisches Obst und Gemüse;1513025;624525;1581029;515947;1381399;516338;1360672;449866;1399778;404935;1100965;402612;1013673;446738;1225211;596019;916164;472811;801046;361774
  Forstwirtschaftliche Erzeugnisse;3164106;620185;3300868;547685;2578864;704749;2306141;821594;1618803;647789;1147614;662848;985200;774043;1676433;1080690;1720107;903677;1112110;711891
  Lebende Pflanzen und Blumen;134663;91838;55070;40763;131786;34723;47452;35346;32938;23486;14387;91516;10534;14653;9096;10441;8045;10703;5186;4123
  Andere Erzeugnisse pflanzlichen Ursprungs;5040739;1005563;5523769;831600;6198127;914595;6149985;708083;5945264;608073;5436516;590488;5531411;950664;5558022;844942;4951457;1362925;4811310;1302781
  Lebende Tiere;6321;6051;4193;3089;4219;4443;4099;3941;3916;3119;998;984;343;1449;1165;574;348;229;310;323
  Kuh-, Schaf- und Ziegenmilch, roh;10239;92959;491;44059;7;14996;-;9385;-;4112;-;2200;-;5699;-;-;-;-;-;-
  Andere Erzeugnisse tierischen Ursprungs;231742;112488;86878;68858;77601;43515;87083;43009;60695;28862;43437;24648;43123;19471;59847;6717;54226;14345;44587;8656
  Fische und Fischereierzeugnisse;619323;247263;492432;169804;2618;22717;5894;12685;13053;13539;19498;10369;23178;15160;31013;21640;13600;9682;6898;7284
Kohle, rohes Erdöl und Erdgas;37331451;674765;36947070;698281;34103475;704784;36839148;1427897;34961133;655207;36775486;919128;29403013;218877;31709969;816810;36117960;690684;38130999;484036
  Kohle;13948091;114325;16405433;69672;14308008;93261;15805786;95973;15573484;343919;12553861;137520;7326199;112864;9889790;138052;11393693;457342;7422839;284484
  Erdöl;23383360;560414;20541561;628506;19795443;611427;21033070;1331289;19387587;311204;24165551;779578;22021974;105831;21619777;676844;24407196;232152;25929637;199070
  Erdgas;-;26;76;103;24;96;292;635;62;84;56074;2030;54840;182;200402;1914;317071;1190;4778524;482
Erze, Steine und Erden, sonst. Bergbauerzeugnisse;26324510;2417757;25139667;2628651;26022076;2589122;30386771;2913128;29702219;3040865;29018443;2857385;27647404;2606818;29782147;3541019;28258218;3740849;26867879;3770650
  Eisenerze;14330068;112926;13820935;146495;13322625;42822;14769944;36389;14673145;87984;14371184;149927;12515592;150744;14358368;138182;13582576;173151;13613421;192509
  NE-Metallerze (ohne Uran- und Thoriumerze);2978282;227018;2711504;138846;3669204;201069;4221350;144845;4333371;284770;3208914;279503;4458526;221219;4120068;278474;3610485;150812;2117315;148854
  Chemische und (natürliche) Düngemittelminerale;345020;162678;274939;134576;125845;131079;189437;126533;158847;142979;209381;182563;222903;182280;240125;240462;260271;230523;260385;347433
  Salz und Natriumchlorid, Meerwasser;107774;649300;96057;818737;131643;739233;49163;732673;141360;966111;56214;905589;41699;583043;29971;896677;25532;852429;30192;749721
  Natursteine,Sand,Kies,Ton,Torf,sonst.Bergbauerz.;8562388;1265835;8234645;1389997;8769726;1474919;11156815;1872688;10395205;1559021;11172750;1339804;10407948;1469486;11033615;1987224;10779354;2333934;10846566;2332133
  Uran- und Thoriumerze;978;-;1587;-;3033;-;62;-;291;-;-;-;735;46;-;-;-;-;-;-
Nahrungs- und Genussmittel;11513987;12162209;10107328;11009173;8655012;8849935;8809457;8398467;7882365;7653197;7764218;7367128;7279764;7962621;7123035;7829525;8132839;7837500;7322659;7941587
  Fleisch, Fleischerzeugnisse;893498;1419632;864446;1207475;555885;664203;615877;769147;510066;661112;438437;631521;406171;627354;449983;659191;330672;487639;324167;528668
  Fisch und Fischerzeugnisse, verarb.u.haltb.gemacht;967219;992628;754281;894409;724104;903352;635451;770467;504174;597006;377233;552000;384087;627306;467386;837820;421183;802766;353325;730849
  Obst und Gemüse, verarbeitet und haltbar gemacht;1337355;915771;1181688;669336;1084588;554700;1095627;465116;946473;376425;814139;481319;782529;369194;819962;378423;879053;360684;715969;344736
  Tierische und pflanzliche Öle und Fette;3239541;1668146;3286318;1762522;3085469;1477590;3261980;1270226;2778527;1025463;2632224;926935;2438263;1160269;2220136;1095284;2993799;1048470;2835932;1336851
